student_id,class_level,gender,treatment,attendance_rate,study_hours,post,time,test_score
1,P5,Girl,1,92.3,6.6,0,baseline,70.6
2,P6,Boy,1,89.8,3.7,0,baseline,76.9
3,P5,Girl,1,95.8,10.9,0,baseline,85.0
4,P5,Boy,0,81.2,6.3,0,baseline,68.4
5,P5,Boy,0,89.4,6.2,0,baseline,68.7
6,P6,Girl,1,85.9,7.5,0,baseline,75.5
7,P5,Boy,0,95.9,7.0,0,baseline,72.0
8,P5,Boy,1,81.0,6.4,0,baseline,74.5
9,P5,Boy,1,80.8,4.4,0,baseline,70.7
10,P6,Boy,1,82.0,6.9,0,baseline,64.3
11,P5,Girl,0,74.4,9.8,0,baseline,80.5
12,P5,Boy,0,82.4,8.7,0,baseline,82.4
13,P5,Girl,1,81.2,9.2,0,baseline,70.5
14,P5,Boy,0,85.8,5.0,0,baseline,69.2
15,P6,Boy,0,86.7,4.0,0,baseline,72.0
16,P5,Boy,1,94.4,5.7,0,baseline,75.1
17,P6,Boy,1,89.8,6.1,0,baseline,76.1
18,P6,Girl,1,82.1,8.2,0,baseline,83.0
19,P6,Girl,1,80.5,2.6,0,baseline,67.3
20,P5,Boy,0,87.5,9.1,0,baseline,70.8
21,P6,Boy,1,78.4,5.7,0,baseline,63.3
22,P5,Girl,1,94.2,5.1,0,baseline,69.3
23,P6,Boy,0,90.9,4.0,0,baseline,71.2
24,P6,Boy,1,82.7,2.7,0,baseline,77.7
25,P6,Boy,1,76.4,7.6,0,baseline,68.8
26,P6,Girl,1,91.8,6.1,0,baseline,74.4
27,P6,Girl,1,84.4,3.4,0,baseline,69.5
28,P6,Girl,1,91.2,3.4,0,baseline,76.9
29,P6,Boy,0,77.0,5.3,0,baseline,82.3
30,P6,Boy,0,82.0,9.3,0,baseline,71.2
31,P5,Girl,1,85.0,5.5,0,baseline,69.0
32,P5,Girl,1,85.2,3.0,0,baseline,74.7
33,P6,Girl,1,82.7,5.5,0,baseline,74.3
34,P6,Girl,1,88.1,5.5,0,baseline,81.3
35,P6,Boy,1,79.7,0.6,0,baseline,69.3
36,P5,Girl,1,84.3,5.9,0,baseline,69.8
37,P6,Boy,1,85.6,5.5,0,baseline,74.5
38,P5,Girl,1,87.6,7.4,0,baseline,79.0
39,P5,Boy,1,88.6,9.7,0,baseline,79.6
40,P5,Girl,1,79.4,8.3,0,baseline,75.1
41,P5,Girl,1,77.3,5.5,0,baseline,75.2
42,P5,Girl,0,91.4,3.8,0,baseline,77.2
43,P6,Girl,0,86.7,11.1,0,baseline,83.1
44,P6,Boy,0,81.3,6.1,0,baseline,74.4
45,P6,Girl,1,92.8,6.0,0,baseline,72.5
46,P6,Boy,0,85.6,6.0,0,baseline,72.7
47,P6,Boy,0,90.9,6.4,0,baseline,79.3
48,P5,Boy,1,85.3,5.7,0,baseline,67.5
49,P6,Boy,0,95.3,4.9,0,baseline,74.8
50,P6,Girl,1,93.8,4.9,0,baseline,70.7
51,P5,Boy,0,83.8,5.9,0,baseline,71.6
52,P6,Boy,0,89.9,4.9,0,baseline,78.3
53,P5,Boy,1,88.2,4.6,0,baseline,72.3
54,P6,Girl,0,91.8,6.2,0,baseline,73.6
55,P5,Girl,0,80.2,5.5,0,baseline,63.6
56,P6,Girl,1,88.4,9.0,0,baseline,78.6
57,P6,Girl,1,90.3,0.7,0,baseline,71.8
58,P5,Boy,0,76.2,8.2,0,baseline,82.6
59,P5,Boy,1,79.1,8.5,0,baseline,71.1
60,P5,Girl,0,74.8,1.9,0,baseline,67.6
61,P5,Boy,0,83.7,5.3,0,baseline,72.2
62,P5,Boy,1,88.6,5.3,0,baseline,79.8
63,P5,Boy,1,92.5,3.2,0,baseline,70.6
64,P5,Girl,1,85.4,4.4,0,baseline,72.0
65,P5,Girl,1,93.1,3.8,0,baseline,74.7
66,P6,Boy,1,78.1,9.5,0,baseline,74.2
67,P6,Girl,1,76.5,7.9,0,baseline,69.4
68,P5,Girl,0,84.7,8.5,0,baseline,74.7
